Journal,OA (%),Specialism (% Category Papers),Average Category Papers / Year,Average Citation Categories,Average News Mentions,Average Twitter Mentions
Science Translational Medicine,"52,97 %","11,79 %","43,3","43,14","13,95","87,39"
Nature Communications,100 %,"2,04 %","142,66","52,41","8,21","41,95"
The Lancet Diabetes & Endocrinology,"45,4 %","47,73 %","96,21","56,87","6,56","152,24"
Nature Climate Change,"49,54 %","9,88 %","29,14","73,53","27,38","125,89"
Cochrane Database of Systematic Reviews,"86,82 %","3,47 %","26,39","29,31","4,6","74,81"
Cancer Cell,"84,36 %","17,03 %","30,64","101,59","7,67","80,7"
Science Immunology,"60,45 %","7,47 %","10,38","58,97","10,64","155,86"
Nature Reviews Clinical Oncology,"34,71 %","10,39 %","14,57","118,18","5,07","87,8"
JAMA Pediatrics,"49,72 %","2,3 %","8,74","33,06","16,3",82
The Lancet Neurology,"43,61 %","5,92 %","16,57","132,11","9,72","59,67"
JAMA Network Open,100 %,"2,23 %","36,51","32,04","12,13","60,68"
MMWR Recommendations and Reports,"96,67 %","40,54 %","2,14","81,41","10,64","110,95"
Pediatrics,"37,79 %","2,1 %","28,37","15,94","14,64","39,55"
Cardiovascular Research,"81,22 %","2,22 %","9,41","38,95","14,39","45,82"
Journal of the National Cancer Institute,"86,64 %","10,65 %","24,52","30,24","11,97","40,91"
Environmental Science and Technology,"32,28 %","3,13 %","52,46","30,34","4,98","141,16"
Nature Biomedical Engineering,"58,84 %","5,72 %","8,14","85,74","7,24","81,5"
The Lancet Microbe,100 %,"10,58 %","13,86","34,28","17,65","177,42"
American Journal of Psychiatry,"55,25 %","1,29 %",2,"43,33","27,56","192,28"
The American Journal of Medicine,"45,29 %","2,03 %","8,64","20,59","2,39","246,99"
Nature Geoscience,"55,2 %","10,68 %","22,29","66,72","16,45","59,59"
The Lancet Digital Health,100 %,"3,6 %","3,81","53,5","6,93","55,16"
Nature Nanotechnology,"53,74 %","1,75 %","4,29","142,82","7,24","87,93"
Nature Reviews Earth & Environment,"39,17 %","5,08 %","4,43","80,23","12,51","72,25"
Journal of Sex & Marital Therapy,"18,28 %","3,05 %",2,"16,47","6,77","662,17"
Reviews of Geophysics,"91,13 %","19,01 %","3,86","170,54","14,25","53,79"
Radiology,"24,19 %","5,82 %","31,39","47,16","5,92","23,67"
Sports Medicine,"54,02 %","3,23 %","5,14","51,91","7,47","169,77"
International Journal of Transgender Health,"75,56 %","13,16 %","7,14","42,25",17,"102,17"
The Lancet Infectious Diseases,"56,62 %","10,29 %","55,29","52,08","8,39","66,89"
Nature Ecology & Evolution,"60,88 %","0,79 %","2,07","59,71","15,41","102,87"
JAMA Neurology,"53,29 %","8,41 %","23,14","41,52","12,86",64
Nature Metabolism,"54,48 %","4,68 %","6,82","34,75","9,81","64,82"
Neuron,"86,69 %","2,94 %","11,93","40,44","10,67","48,54"
Nature Reviews Genetics,"38,75 %","4,04 %","4,57","149,76","9,39","81,84"
Nature Microbiology,"67,49 %","12,31 %","29,71","100,59","7,57","81,23"
Nature Reviews Gastroenterology & Hepatology,"35,87 %","11,19 %","16,29","146,03","1,9","80,18"
The Lancet Child & Adolescent Health,"37,25 %","6,53 %","13,86","46,64","5,19","82,42"
Immunity,"82,17 %","4,36 %","10,05","65,08",4,"97,75"
Nature Neuroscience,"65,66 %","5,43 %",13,"66,97","6,99","65,98"
American Journal of Public Health,"79,88 %","1,28 %","6,62","16,93","7,25","85,33"
Nature Reviews Drug Discovery,"25,27 %","5,29 %","12,29","97,17","2,95","75,26"
The Lancet Global Health,100 %,"4,39 %","17,27","66,46","4,64","53,58"
The Lancet HIV,"47,27 %","2,17 %","3,62","52,96","2,63","34,93"
Nature Reviews Cancer,"41,91 %","8,18 %","8,73","115,06","1,36","66,44"
Nature Methods,"70,36 %","1,01 %","3,29","66,75","4,64","133,31"
Radiology Cardiothoracic Imaging,"90,09 %","9,47 %","7,14","17,51","2,15","56,53"
Communications Earth & Environment,100 %,"11,51 %","26,29","24,02","14,62","103,75"
Cell Research,"97,29 %","3,92 %","5,56","64,65","2,01","58,19"
Molecular Cell,"93,67 %","3,51 %","13,73","67,78","2,16","38,52"
Endocrine Reviews,"94,84 %","27,16 %","11,21","64,7","1,52","70,14"
JAMA Surgery,"40,28 %","2,71 %","10,95","38,39","3,75","45,02"
Journal of the American Heart Association,100 %,"2,51 %","25,26","18,11","3,34","18,7"
Current Biology,"90,76 %","1,95 %","17,03","34,91","8,81","43,29"
Nature Cancer,"52,53 %","20,74 %","23,83","46,35","3,89","89,75"
Nature Reviews Microbiology,"42,89 %","10,14 %","16,43","87,48","3,58","54,6"
Canadian Medical Association Journal,100 %,"0,85 %","4,43","25,41","13,08","38,85"
Nature Reviews Immunology,"44,32 %","3,29 %","5,21","57,58","1,39","80,07"
The Medical Journal of Australia,"48,46 %","1,07 %","4,1","26,5","13,77","38,39"
Anaesthesia,"70,47 %","0,98 %","2,51","31,27","1,62","115,44"
Cancer Discovery,"55,95 %","9,73 %","47,65","36,25","2,92","36,21"
Cell Stem Cell,"87,89 %","10,33 %","18,23","57,53","6,07","42,46"
The Lancet Gastroenterology & Hepatology,"29,09 %","6,46 %","15,57","83,84","3,72","49,14"
MMWR Surveillance Summaries,100 %,"19,4 %","1,86","50,76","6,59","52,15"
Journal of the American College of Cardiology,"65,94 %","1,01 %","53,63","20,55","1,77","24,65"
British Journal of General Practice,"90,15 %","0,81 %","3,08","14,86","5,65","52,85"
Journal of Experimental Medicine,"93,28 %","10,8 %","25,21","45,05","3,18","49,03"
JAMA Cardiology,"47,62 %","2,29 %","6,6","29,27","3,73","48,88"
Cell Host & Microbe,"87,77 %","7,44 %","14,48","53,09","2,79","44,47"
NEJM Evidence,20 %,"8,04 %","4,53","22,52","9,46","66,63"
Nature Immunology,"61,16 %","4,42 %","11,7","57,8","4,02","54,98"
PLOS Biology,100 %,"2,92 %","11,35","29,47","4,93","55,74"
The Lancet Planetary Health,100 %,"4,03 %","6,43","34,48","14,13","31,37"
JACC Heart Failure,"60,61 %","2,53 %","5,3","36,52","3,36","78,07"
Diabetologia,"94,89 %","2,74 %","6,49","28,46","2,38","48,44"
Osong Public Health and Research Perspectives,100 %,"8,11 %","3,86","51,47","4,59","2 259,66"
Cell Reports,100 %,"3,95 %","53,39","36,07","2,9","27,32"
Radiology Artificial Intelligence,"90,28 %","5,51 %","3,21","27,2","1,91","146,68"
Mutation Research/Reviews in Mutation Research,"40,88 %","15,17 %","3,86","14,43","4,45","63,17"
Journal of Clinical Investigation,"99,97 %","8,65 %","46,74","39,69","3,33","19,92"
Environmental Health Perspectives,100 %,"2,94 %","6,33","30,43",6,"22,93"
Physiological Reviews,"55,88 %","8,83 %","3,69","88,97","3,02","40,81"
The Lancet Haematology,"30,45 %","9,92 %","17,52","31,37","3,03","23,51"
Brain,"89,25 %","8,68 %","36,34","25,34","1,94","49,14"
Clinical Cancer Research,"59,25 %","9,33 %","89,69","32,05","2,41","16,18"
npj Digital Medicine,100 %,"2,34 %","3,92","27,51","1,82","27,46"
Microbiome,100 %,"1,89 %","3,78","54,63","2,8","19,81"
Nature Plants,"47,16 %","4,11 %","9,86","61,39","4,28","51,53"
Developmental Cell,"90,07 %","3,8 %","9,76","37,91","3,18","32,88"
Mayo Clinic Proceedings,"80,8 %","2,71 %","10,07","47,02","2,99","16,8"
Clinical Microbiology Reviews,"93,17 %","24,79 %","8,43","103,04","1,25","57,55"
Nature Materials,"51,86 %","0,82 %","1,71","51,83","6,01","66,82"
Journal of Adolescent Health,"58,94 %","1,97 %","11,05","11,38","3,4","48,15"
Intensive Care Medicine,"66,16 %","4,07 %","14,41","39,12","0,39","111,45"
Genome Biology,100 %,"2,63 %","7,16",58,"2,53","22,55"
American Journal of Clinical Nutrition,"84,75 %","2,4 %","8,93","17,43","4,07","23,85"
Clinical Journal of the American Society of Nephrology,89 %,"2,64 %","7,08","27,31","1,8","67,91"
Nature Reviews Neurology,"37,24 %","10,63 %","16,14","89,2","1,79","50,2"
BMC Medicine,100 %,"6,24 %","22,71","28,2","4,82","20,67"
Nature Reviews Endocrinology,"33,94 %","49,72 %","75,93","70,58","1,25","53,53"
Clinical Infectious Diseases,"73,74 %","6,4 %","69,42","22,84","1,84","37,81"
Internal and Emergency Medicine,"40,73 %","4,1 %","11,36","21,16","2,68","30,42"
eLife,100 %,"2,47 %","45,32","27,15","2,32","17,67"
American Journal of Respiratory and Critical Care Medicine,"67,82 %","9,1 %","60,45","49,67","1,76","21,67"
Neuropsychopharmacology,"89,07 %","1,42 %","3,77","22,99","1,73","28,08"
Nature Chemical Biology,"54,38 %","2,78 %","6,75","45,58","3,38","49,77"
The Journal of Steroid Biochemistry and Molecular Biology,"30,09 %","16,06 %","24,5","13,96","0,74","46,4"
Nature Reviews Nephrology,"44,29 %","4,65 %","5,42","79,57","0,28","122,34"
Nature Cell Biology,"58,2 %","5,14 %","10,32","62,14","3,11","37,53"
Molecular Psychiatry,"78,8 %","2,97 %","10,56","38,45","2,65","25,64"
Cancer,"73,52 %","10,48 %","61,18","23,78","3,4","16,38"
European Urology,"15,99 %","2,37 %","27,82","64,9",1,"39,42"
Royal Society Open Science,100 %,"0,78 %","4,89","11,68","2,07","39,72"
Journal of Internal Medicine,"85,68 %","6,39 %","9,09","28,22","4,22","16,81"
The journal of nutrition health & aging,"87,93 %","1,3 %","1,71","87,91","1,04","57,05"
Molecular Biology and Evolution,"98,48 %","1,39 %",4,"15,84","8,92","28,86"
Obesity,"72,5 %","2,5 %","6,29","21,26","6,97","16,19"
Frontiers in Psychology,100 %,"0,3 %","13,67","12,62","2,23","19,35"
Diabetes Care,"96,74 %","1,39 %","6,11","27,14","3,28","14,17"
Cell Reports Medicine,100 %,"10,91 %","19,22","17,58","4,87","27,43"
Harm Reduction Journal,100 %,"7,07 %","8,57","14,54","3,89","93,42"
EBioMedicine,100 %,"8,39 %","46,95","28,62","2,42","19,01"
Addiction,"76,92 %","15,31 %","49,29","17,8","4,59","59,47"
Tumori Journal,"28,79 %",20 %,"19,57","4,92","0,66",30
Pharmacological Reviews,"97,89 %","11,28 %","3,14","90,44","2,31","8,89"
Signal Transduction and Targeted Therapy,100 %,"7,82 %","21,46","69,09","1,54","12,83"
Molecular Therapy,"88,42 %","7,2 %","19,29","39,32","1,38","11,16"
Journal of Cell Biology,"94,62 %","2,5 %","6,86","26,3","1,86","38,15"
The Lancet Rheumatology,"44,2 %","6,4 %","9,43","33,42","1,63","70,58"
Cellular and Molecular Gastroenterology and Hepatology,100 %,"8,92 %","15,57","35,74","2,03","19,02"
Health Affairs,"39,29 %","0,73 %","2,14","9,54","6,71","31,08"
Journal of Obesity & Metabolic Syndrome,100 %,"5,97 %","2,29","18,88","13,47","4,08"
EClinicalMedicine,100 %,"5,17 %","19,99","22,94","2,51","26,24"
Arthritis & Rheumatology,"55,4 %","8,29 %","27,14","29,79","2,42","24,72"
JCI Insight,100 %,"9,41 %","47,82","29,99","1,79",18
Biological Reviews,"64,15 %","3,33 %","2,93","40,02","2,54","29,72"
American Journal of Men's Health,100 %,"3,58 %","3,61","9,44","3,86","48,35"
Nature Reviews Cardiology,"38,87 %","3,51 %","5,48","76,88","0,85","42,65"
EFSA Journal,100 %,"0,7 %","2,71","393,93","2,41","11,76"
Neurotherapeutics,"97,27 %","10,96 %","15,29","52,72","1,7","9,11"
Nature Structural & Molecular Biology,"65,54 %","3,19 %","6,04","51,03","4,41","33,51"
Earth's Future,100 %,"36,7 %","64,86","34,72","8,18","20,85"
Journal of Medical Virology,"51,09 %","4,57 %","30,67","24,97","1,35","10,97"
Journal of the National Comprehensive Cancer Network,"57,36 %","9,68 %","32,62","34,24","3,54","4,93"
Ophthalmology,"67,22 %","3,31 %","13,64","34,6","2,62","11,37"
Journal of the American Geriatrics Society,"66,7 %","0,5 %","2,33","14,31","2,57","19,22"
European Journal of Heart Failure,80 %,"2,02 %","6,28","55,43","1,19","43,33"
npj Climate and Atmospheric Science,100 %,"67,22 %",70,"31,55","5,39","46,18"
Med,"69,07 %","9,97 %","6,73","13,26","3,71","50,22"
Environment International,"95,5 %","3,3 %","23,39","29,19","2,57","11,83"
Earth System Science Data,100 %,"57,49 %","116,29","45,98","3,19","25,03"
American Society of Clinical Oncology Educational Book,"52,96 %","16,42 %","12,75","24,84","1,38","22,3"
Science Signaling,"51,91 %","5,28 %","9,23","31,13","1,72","34,76"
Circulation Heart Failure,"90,11 %","5,95 %","8,55","37,38","2,25","18,11"
Journal of Neuroscience,"91,38 %","2,61 %","19,86",21,"2,61","17,28"
American Journal of Kidney Diseases,"60,88 %","2,27 %","15,05","16,86","0,85","53,64"
Current Sexual Health Reports,"25,73 %","11,61 %","3,71","5,49","3,78","547,7"
Tobacco Control,"62,81 %","68,15 %","135,43","14,57","4,78","28,24"
The Lancet Regional Health - Europe,100 %,"2,81 %","3,81","21,61","2,13","20,16"
American Journal of Preventive Medicine,"57,14 %","6,55 %","20,53","13,55","4,74","13,26"
Journal for ImmunoTherapy of Cancer,100 %,"10,63 %","67,86",37,"1,56","15,64"
Clinical Gastroenterology and Hepatology,"63,34 %","6,17 %","36,11","27,21","1,82","12,28"
Nature Reviews Rheumatology,"36,53 %","9,05 %","15,71","49,72","0,64","58,89"
American Journal of Obstetrics and Gynecology,71 %,"1,22 %","24,24","11,65","1,62","20,46"
Journal of the American Society of Nephrology,"36,92 %","0,56 %","12,16","30,5","0,8","36,9"
Health Technology Assessment,100 %,"5,19 %","2,93","23,95","1,7","21,9"
GeoHealth,100 %,"14,73 %","8,86","19,35","9,09","14,31"
Nature Aging,"52,11 %","2,19 %","2,14","19,25","3,38","43,65"
Medicine & Science in Sports & Exercise,"85,88 %","0,47 %","11,59","13,82","1,35","17,8"
Journal of Applied Ecology,"79,85 %","1,34 %","2,29","10,96","6,89","24,45"
Environmental Research Letters,100 %,"13,48 %","104,13","17,43","4,4","16,73"
Proceedings of the Royal Society B,"95,55 %","1,48 %","7,99","17,46","2,24","24,94"
Annals of Surgery,"29,19 %","6,89 %","43,84","28,34","1,18","14,99"
Molecular Neurodegeneration,100 %,"15,89 %","11,71","45,04","4,35","15,44"
Acta Paediatrica,"56,24 %","4,02 %","17,55","7,84","0,65","60,57"
Plastic & Reconstructive Surgery,"35,75 %","1,79 %","16,36","12,21","1,26","21,83"
PLOS Pathogens,100 %,"8,07 %","51,17","21,53","1,36","21,71"
Environmental Health,100 %,"4,53 %","4,78","18,08","1,82","15,69"
Global Change Biology,"65,3 %","2,67 %","12,29","34,08","3,08","20,62"
European Journal of Epidemiology,"74,98 %","4,15 %","4,67","22,8","2,72","8,95"
Genes & Development,"99,16 %","7,1 %","7,52","41,43","2,07","14,61"
Genome Medicine,100 %,"13,75 %","16,86","34,41","1,4","13,52"
Water Research,"28,32 %","2,07 %","22,84","28,56","2,07","5,72"
JAMA Ophthalmology,"38,33 %","5,49 %","20,07","19,66","2,28","15,09"
Hepatology,"57,75 %","13,91 %","75,37","44,71","1,49","11,61"
JCO Precision Oncology,"68,31 %","15,9 %","31,05","22,21",1,"24,36"
Science China Life Sciences,"27,7 %","3,77 %","7,67","56,7","1,98","3,38"
Circulation,"21,55 %","1,99 %","70,03","22,73","1,6","15,17"
Sleep Medicine Reviews,"34,59 %","2,64 %","2,22","33,17","0,97","12,95"
European Journal of Sport Science,"46,02 %","1,86 %","3,14","15,35","0,94","43,71"
Journal of Hematology & Oncology,100 %,"32,21 %","47,86","61,18","2,5","6,13"
Human Reproduction Update,"66,28 %","13,17 %","5,68","49,01","1,76","8,25"
JCO Oncology Practice,"61,77 %","8,98 %","33,14","12,9","2,18","16,94"
Social Science & Medicine,"57,56 %","0,99 %","6,26","13,37","2,27","19,35"
Neurology,"16,84 %","2,1 %","84,45","9,6","4,24","7,17"
Journal of Pharmaceutical Analysis,100 %,"5,09 %","4,56","29,55","2,75","8,28"
The EMBO Journal,"96,23 %","4,46 %","12,13","28,59","1,84","22,31"
Philosophical Transactions of the Royal Society A Mathematical Physical and Engineering Sciences,"92,87 %","2,88 %","8,43","37,65","3,01","31,67"
International Journal of Cancer,"79,75 %","16,75 %","84,24","22,64","2,08","6,62"
European Journal of Preventive Cardiology,"67,66 %","1,38 %","8,04","13,33","1,91","22,61"
European Respiratory Journal,"80,84 %","24,18 %","119,43","24,46","1,11","22,54"
Indoor Air,"94,78 %","7,13 %","7,71","12,85","0,71","14,18"
Scientific Reports,100 %,"1,2 %","257,84","15,89","0,69","5,2"
Clinical Kidney Journal,100 %,"6,75 %","16,86","8,76","4,48","24,06"
Cell Chemical Biology,"85,17 %","6,17 %","9,67","23,06","1,65","23,91"
Archives of Sexual Behavior,"45,95 %","1,5 %","3,68","14,02","0,97","41,06"
Psychological Medicine,"72,83 %","0,73 %","2,81","36,26","3,91","16,52"
Current Opinion in Behavioral Sciences,"58,94 %","4,05 %","4,29","37,38","16,51","25,32"
Medical Sciences,100 %,"9,06 %","6,75","50,58","11,36","3,28"
Molecular Systems Biology,100 %,"6,04 %","4,14","30,32","5,57","22,7"
Menopause The Journal of The North American Menopause Society,"25,04 %","14,45 %","30,12","13,08","6,92","14,35"
International Journal of Nanomedicine,100 %,"6,21 %","34,66","19,53","0,1","22,62"
Gut,"65,24 %","7,2 %","44,95","27,19","3,03",32
American Journal of Human Genetics,"93,09 %","22,83 %","45,43","33,04","2,06","22,13"
EMBO Molecular Medicine,100 %,"14,31 %","18,86","24,5","1,39","14,26"
Environmental Sciences Europe,100 %,"3,08 %","3,39","24,08","4,73","39,68"
Molecular Autism,100 %,"7,12 %","4,27","24,11","0,98","25,67"
Journal of Exposure Science & Environmental Epidemiology,"70,22 %","5,36 %","5,29","16,09","6,32","12,31"
Evolution Medicine and Public Health,100 %,"5,06 %","1,86","27,57","1,96","14,69"
ACS Central Science,100 %,"4,59 %","10,71","23,38","3,58","19,06"
European Journal of Nutrition,"51,36 %","2,92 %","7,71","13,83","3,84","9,94"
Metabolism,"27,82 %","4,67 %","10,86","33,26","1,8","7,89"
Nature Reviews Urology,"29,91 %","4,17 %","5,86","23,17","1,34","25,63"
Biological Psychiatry,"15,28 %","0,66 %","7,09","15,48","1,17","7,07"
JACC CardioOncology,100 %,"7,52 %","6,95","22,99","0,87","40,5"
Eurosurveillance,100 %,"13,4 %","32,43","17,69","2,64","38,32"
Burns,"19,4 %","2,28 %",6,"8,55","1,86","94,44"
Nutrients,100 %,"1,83 %","70,18","20,74",1,"8,98"
Stem Cell Reports,100 %,"8,66 %","16,98","23,59","3,34","12,86"
Hypertension,"47,29 %","1,8 %","12,29","15,35","2,18","9,13"
Wiley Interdisciplinary Reviews Climate Change,"71,43 %","9,31 %","4,43","84,05","2,21","27,25"
Microbiology and Molecular Biology Reviews,"90,48 %","11,29 %",2,"33,67","0,71","32,32"
European Journal of Cancer,"34,17 %","5,72 %","44,63","26,52","0,63","13,35"
Molecular Metabolism,100 %,"8,18 %","14,86",29,"1,28","14,94"
Nucleic Acids Research,100 %,"1,55 %","18,55","31,17","1,04","9,26"
Critical Care,100 %,"7,04 %","31,36","26,96","0,31","51,08"
Journal of Cachexia Sarcopenia and Muscle,100 %,"5,66 %",10,"30,76","0,97","9,87"
mBio,100 %,"5,97 %","41,76","20,9","1,28","14,53"
Trends in Cancer,"51,68 %","12,77 %","15,11","29,28","0,4","38,53"
Journal of General Internal Medicine,"90,24 %","0,91 %","5,85","13,34","1,99","15,83"
Frontiers in Immunology,100 %,"4,01 %","195,7","25,01","0,41","8,63"
American Journal of Roentgenology,"11,62 %","8,53 %","39,14","17,69","1,94","10,99"
JAMA Dermatology,"45,33 %","10,54 %","33,14","14,65","3,51","20,91"
British Journal of Cancer,"90,62 %","14,33 %","58,95","24,58","1,39","8,84"
AJP Heart and Circulatory Physiology,"66,04 %",4 %,"9,98","22,68","0,85","15,05"
Diabetes Obesity and Metabolism,"60,55 %","1,8 %","6,79","22,33","2,53","8,85"
Emerging Infectious Diseases,100 %,"26,28 %","140,86","15,08","2,1","28,2"
Neurology Neuroimmunology & Neuroinflammation,100 %,"20,6 %","28,43","26,8","1,22","29,06"
Communications Biology,100 %,"3,8 %","36,24","17,24","1,43","13,38"
Advances in Nutrition,"98,87 %","2,3 %","3,11","21,45","1,19","14,98"
Clinical & Translational Immunology,100 %,"16,2 %","11,22","15,21","4,22","13,78"
International Journal of Sport Nutrition and Exercise Metabolism,"51,81 %","4,62 %","2,86","21,21","0,99","24,08"
Journal of Applied Physiology,"60,36 %","2,76 %","8,74","10,02","0,79","17,52"
Obesity Reviews,"59,01 %","2,76 %","4,14","30,01","1,12","18,88"
The American Journal of Emergency Medicine,"21,24 %","2,11 %","15,4","6,89","0,56","23,87"
npj Vaccines,100 %,"17,72 %","22,4","18,72","3,26","11,69"
Transgender Health,"69,2 %","25,75 %",16,"10,93","2,7","89,9"
Cannabis and Cannabinoid Research,"63,54 %","4,68 %","3,86","14,37","4,46","28,02"
Arthritis Care & Research,"53,72 %","7,26 %","18,67","20,6","2,33","9,63"
Quarterly Journal of Experimental Physiology and Cognate Medical Sciences,"91,91 %","4,73 %","8,41","10,74","3,47","12,25"
PLOS Genetics,100 %,"4,89 %","24,14","21,04","1,28","14,54"
The Science of The Total Environment,"26,72 %","2,41 %","166,89","23,79","1,14","5,61"
Alzheimer's & Dementia: Translational Research & Clinical Interventions,100 %,"2,6 %","1,86","24,59","5,25","11,04"
One Earth,"84,57 %","2,88 %","4,43","18,1","3,15","22,3"
The ISME Journal: Multidisciplinary Journal of Microbial Ecology,"96,12 %","1,88 %","4,57","30,16","1,31","27,72"
Clinical Cardiology,100 %,"2,84 %","5,48","20,7","0,73","9,87"
ACS Nano,"31,79 %","1,72 %","29,07","58,86","1,14","13,29"
Contraception and Reproductive Medicine,100 %,"9,49 %","1,86","13,87","4,59","12,94"
Stem Cells Translational Medicine,100 %,"7,59 %","10,73","28,59","2,05","5,25"
AGU Advances,100 %,"23,71 %","7,86","15,82","8,69","19,05"
Gut Microbes,100 %,"4,13 %","7,56","62,42","0,68","7,77"
Journal of Pain Research,100 %,"1,65 %","5,11","11,93","3,34","16,36"
JNCI Cancer Spectrum,100 %,"12,49 %","11,91","13,3","1,76","8,07"
Annals of Neurology,"62,54 %","18,4 %","47,29","26,6","1,87","14,68"
European Respiratory Review,100 %,"26,49 %","23,5","34,24","0,5","26,58"
Sports,100 %,"1,58 %","2,71","13,5","4,38","27,76"
National Science Review,"99,97 %","1,87 %","4,76","42,03","2,01","3,77"
Arteriosclerosis Thrombosis and Vascular Biology,"56,87 %","3,18 %","16,67","18,1","1,49","9,14"
Acta Neuropathologica,"83,77 %","38,57 %",53,"39,94","3,07","13,34"
iScience,100 %,"2,62 %","38,92","13,47","1,85","11,98"
Thorax,"64,6 %","13,96 %","51,66","16,32","1,75","19,72"
Aesthetic Surgery Journal,"43,13 %","2,09 %","7,36","12,96","1,24","11,85"
JCO Clinical Cancer Informatics,"72,48 %","9,76 %","10,48","15,55","1,96","12,24"
Journal of Nuclear Medicine,"83,97 %","7,11 %","25,33","26,26","1,46","8,1"
EMBO Reports,"95,72 %","3,76 %","10,81","25,88","0,95","12,93"
Pharmacology & Therapeutics,"46,04 %","8,72 %","12,39","44,41","0,68","6,14"
International Journal of Obesity,"57,53 %","3,02 %","6,93","14,96","1,04","22,02"
Ageing Research Reviews,"39,03 %","3,25 %","5,71","37,63","0,74","14,85"
The Oncologist,"99,93 %","9,59 %","34,48","21,99","0,53","9,29"
Biology of Sex Differences,100 %,"11,43 %","7,79","27,59","1,15","11,32"
Australian and New Zealand Journal of Public Health,100 %,"3,94 %","3,78","8,42","3,33","13,27"
The Journal of Physiology,"86,93 %","2,6 %","12,1","15,49","1,07","15,31"
Therapeutic Advances in Chronic Disease,100 %,"8,59 %","6,05","12,26","0,09","29,02"
The Journal of Antibiotics,"30,14 %","9,46 %","10,29","13,15","0,63","176,5"
Missouri Medicine,0 %,"3,63 %",4,"12,06","2,16","7,14"
BMJ Global Health,100 %,"5,32 %","24,07","14,5","1,59","21,79"
Journal of Hepatology,"34,53 %","8,8 %","176,29","29,43","1,27","17,5"
Aging Cell,100 %,"3,37 %","6,79","28,53","0,82","12,93"
Genetics in Medicine,"86,97 %","15,93 %","54,56","32,31","1,6","13,38"
Scientific Data,100 %,"2,21 %","12,67","40,43","0,4","11,54"
International Journal of Epidemiology,"89,49 %","4,13 %","14,5","19,91","1,38","12,93"
Cell Systems,"93,22 %","6,33 %",6,"36,02","1,79","31,94"
Journal of Infection,"63,74 %","6,95 %","21,76","33,06","0,7","14,03"
Blood Advances,"98,09 %","13,22 %",80,"20,41","0,91","7,51"
Epilepsia,"68,79 %",5 %,16,"22,01","0,99","12,68"
Journal of the American Chemical Society,"41,65 %","0,42 %","10,7","42,35","0,49","17,8"
Journal of Hazardous Materials,"12,63 %","0,57 %","12,71","40,32","0,41","6,6"
Epidemiology,"73,37 %","2,63 %","3,67","12,81","1,05","8,9"
Cell Death & Differentiation,"87,03 %","11,8 %","22,43","43,53","0,77","11,98"
Nature Protocols,"53,21 %","3,2 %","4,57","34,82","0,8","26,03"
European Journal of Clinical Nutrition,"44,33 %","3,11 %","6,43","13,4","1,04","66,34"
Disease-a-Month,"6,81 %","11,28 %","5,29","18,27","23,49","2,13"
The Journal of Clinical Endocrinology & Metabolism,"88,83 %","36,22 %",283,"15,82","0,72","7,37"
Angewandte Chemie International Edition,"42,44 %","0,39 %","14,43","34,65","0,7","10,18"
Frontiers in Aging Neuroscience,100 %,"2,9 %","21,36","19,42","1,73","11,84"
Pharmacological Research,"45,57 %","6,77 %","29,42","35,93","0,25","19,99"
The Linacre Quarterly,"83,95 %","4,79 %","3,14","3,96","1,91","95,69"
Nutrition Reviews,"54,12 %","2,54 %","3,14","23,82","1,65","12,95"
